
公告,#genre#
CCTV5,http://117.41.138.137:9999/udp/239.252.219.72:5140
CCTV6,http://117.41.138.137:9999/udp/239.252.219.237:5140
CCTV6,http://117.41.138.137:9999/udp/239.252.220.195:5140
CCTV7,http://117.41.138.137:9999/udp/239.252.220.185:5140
CCTV8,http://117.41.138.137:9999/udp/239.252.219.253:5140
CCTV8,http://117.41.138.137:9999/udp/239.252.220.196:5140
CCTV9,http://117.41.138.137:9999/udp/239.252.220.186:5140
CCTV10,http://117.41.138.137:9999/udp/239.252.220.91:5140
CCTV11,http://117.41.138.137:9999/udp/239.252.219.78:5140
CCTV12,http://117.41.138.137:9999/udp/239.252.220.187:5140
CCTV13,http://117.41.138.137:9999/udp/239.252.219.139:5140
CCTV14,http://117.41.138.137:9999/udp/239.252.220.92:5140
CCTV15,http://117.41.138.137:9999/udp/239.252.219.79:5140
CCTV17,http://117.41.138.137:9999/udp/239.252.220.192:5140
CCTV4,http://117.41.138.137:9999/udp/239.252.219.192:5140
CCTV4,http://117.41.138.137:9999/udp/239.252.219.193:5140
CCTV1,http://221.15.6.157:8888/rtp/225.1.4.73:1102
CCTV2,http://221.15.6.157:8888/rtp/225.1.4.74:1103
CCTV3,http://221.15.6.157:8888/rtp/225.1.4.158:1194
CCTV4,http://221.15.6.157:8888/rtp/225.1.5.30:1333
CCTV5,http://221.15.6.157:8888/rtp/225.1.4.159:1195
CCTV6,http://221.15.6.157:8888/rtp/225.1.4.160:1196
CCTV7,http://221.15.6.157:8888/rtp/225.1.4.76:1105
CCTV8,http://221.15.6.157:8888/rtp/225.1.4.161:1197
CCTV9,http://221.15.6.157:8888/rtp/225.1.4.77:1106
CCTV10,http://221.15.6.157:8888/rtp/225.1.4.78:1107
CCTV11,http://221.15.6.157:8888/rtp/225.1.4.215:1268
CCTV12,http://221.15.6.157:8888/rtp/225.1.4.79:1108
CCTV13,http://221.15.6.157:8888/rtp/225.1.4.113:1293
CCTV14,http://221.15.6.157:8888/rtp/225.1.4.80:1109
CCTV15,http://221.15.6.157:8888/rtp/225.1.4.216:1269
CCTV16,http://221.15.6.157:8888/rtp/225.1.5.46:1356
CCTV17,http://221.15.6.157:8888/rtp/225.1.4.226:2506
CCTV5,http://221.15.6.157:8888/rtp/225.1.4.75:1104
CCTV1,http://221.15.6.157:8888/rtp/225.1.4.1:1030
CCTV2,http://221.15.6.157:8888/rtp/225.1.4.2:1031
CCTV4,http://221.15.6.157:8888/rtp/225.1.4.4:1033
CCTV7,http://221.15.6.157:8888/rtp/225.1.4.7:1036
CCTV9,http://221.15.6.157:8888/rtp/225.1.4.9:1038
CCTV10,http://221.15.6.157:8888/rtp/225.1.4.10:1039
CCTV11,http://221.15.6.157:8888/rtp/225.1.4.11:1040
CCTV12,http://221.15.6.157:8888/rtp/225.1.4.12:1041
CCTV13,http://221.15.6.157:8888/rtp/225.1.4.13:1042
CCTV14,http://221.15.6.157:8888/rtp/225.1.4.14:1043
CCTV15,http://221.15.6.157:8888/rtp/225.1.4.15:1044
CCTV17,http://221.15.6.157:8888/rtp/225.1.4.227:2507
CCTV4,http://221.15.6.157:8888/rtp/225.1.5.31:1342
CCTV4,http://221.15.6.157:8888/rtp/225.1.5.32:1343
CCTV1,http://61.240.37.191:8085/rtp/226.0.2.153:9136
CCTV2,http://61.240.37.191:8085/rtp/226.0.2.154:9144
CCTV3,http://61.240.37.191:8085/rtp/226.0.2.208:9576
CCTV4,http://61.240.37.191:8085/rtp/226.0.2.156:9160
